group	section	host	path	methods	classification	const	evidence
platform	Help-Support-Center	sellercentral.amazon.in	/gp/aw/help	?	UNKNOWN	path	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/gp/case-dashboard	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/gp/contact-amazon	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/gp/contact-us	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help	?	UNKNOWN	path	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub/mons-api/	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/hz/m/help	?	UNKNOWN	path	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar/search	?	UNKNOWN	path	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar/solution	?	UNKNOWN	path	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/inline/sidebar/support/describe	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/irc/widget	?	UNKNOWN	source	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/learn/widget-spl	?	UNKNOWN	source	verb and posture not proven (G1: denied)
platform	Help-Support-Center	sellercentral.amazon.in	/solution/{id}	?	UNKNOWN	path	verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/ah/eligibility	?	UNKNOWN	href	verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/coupon-details-page	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/globalsearch/v1/search	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/goblin/read	?	UNKNOWN		verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/gp/orders-v2/search	?	UNKNOWN	url	verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/gp/search	?	UNKNOWN	path	verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/pix-gateway	?	UNKNOWN	uri	verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/product-search	?	UNKNOWN	productSearch	verb and posture not proven (G1: denied)
platform	Platform-Common	sellercentral.amazon.in	/reorder-coupons-dashboard-page	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Account-Health-Performance	sellercentral.amazon.in	/performance/detail/customer-service	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Account-Health-Performance	sellercentral.amazon.in	/performance/detail/product-policies	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Account-Health-Performance	sellercentral.amazon.in	/performance/detail/shipping	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Account-Health-Performance	sellercentral.amazon.in	/performance/report/order-defects	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Account-Health-Performance	sellercentral.amazon.in	/performance/report/performance-over-time	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Account-Health-Performance	sellercentral.amazon.in	/voice-of-the-customer	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Business-Reports-Analytics	sellercentral.amazon.in	/br-insights-widget-metrics	?	UNKNOWN	url	verb and posture not proven (G1: denied)
seller	Business-Reports-Analytics	sellercentral.amazon.in	/business-reports/api	?	UNKNOWN	uri	read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Business-Reports-Analytics	sellercentral.amazon.in	/reportcentral/AGLGlobalStoreSales/0	?	UNKNOWN	href	verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons-dashboard-page	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/asin	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/couponPromotion	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/couponPromotion/products	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/feePreview	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/product-selection/sns/	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/recommendations	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/search	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/sku	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/tailoring/merchant	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/v2/bulkItem	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/promotion-central	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Coupons-Promotions	sellercentral.amazon.in	/promotion/psp/	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Global-Selling-Expansion	sellercentral.amazon.in	/global-selling/listings/connect	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Global-Selling-Expansion	sellercentral.amazon.in	/marketplace/exchange-rates	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Global-Selling-Expansion	sellercentral.amazon.in	/marketplace/global-listings-expansion-data	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Global-Selling-Expansion	sellercentral.amazon.in	/marketplace/listing-preferences	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Global-Selling-Expansion	sellercentral.amazon.in	/marketplace/recommendation	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Inventory-Pricing	sellercentral.amazon.in	/automatepricing/rules/listings/	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Inventory-Pricing	sellercentral.amazon.in	/hz/inventory	?	UNKNOWN	url	verb and posture not proven (G1: denied)
seller	Inventory-Pricing	sellercentral.amazon.in	/myinventory/actions	?	UNKNOWN	source	verb and posture not proven (G1: denied)
seller	Inventory-Pricing	sellercentral.amazon.in	/myinventory/inventory	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/EasyListConfig	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/brand/authorization	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/detailPageInfo	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/fix-listing	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/get-standalone-for-variation	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/losg-global/get-listing	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/offer-full-form	?	UNKNOWN		verb and posture not proven (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/offer-prefilled	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/reconciledDetailsV2	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/searchSkus	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/offer-full-form	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/syh	?	UNKNOWN		read-shaped path but verb NOT proven in the minified source (G1: denied)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/v1/log	?	UNKNOWN	url	read-shaped path but verb NOT proven in the minified source (G1: denied)
