n,priority,question,why_it_matters,what_it_blocks,my_best_guess,status,owner,daman_note
1,blocking,"Free space = ceiling minus SAP OnHand minus everything invoiced but not yet gated out — counting BOTH exit lanes (the dock for customers, and Warehouse BST for the Mart transfers). Is that the formula you meant by C-0054?","This is C-0054 turned into arithmetic. Today it moves BH-BT+BH-PF from 'we have 158,356 L free' to 'we have about 30,000 L free'. In August the corrected position averaged 99% of the 827,000 L working ceiling and went over it on 11 of 30 days. Every capacity check in the engine changes on some days.",Wiring the correction into the storage model. The join is built and the daily series is computed; no engine file has been changed.,"Yes — that is exactly what you described. I have built it that way and it is in out/storage-corrected-final.csv. Space is released when the vehicle leaves, and there are two vehicle-out records, not one.","OPEN — mechanism confirmed, formula NOT ratified",Gurvinderjeet Singh +91 93193 79079,"Daman 2026-08-30: 'the analogy I explained to you was right, but I don't think I have live numbered reports. Keep that in the questions, we'll clear it later.' So: the INVOICE-FIRST-TRUCK-LATER mechanism is confirmed by the owner and by SAP (1,055 TransType-13 movements, zero TransType-15 — no delivery note exists, the invoice IS the stock movement). What is NOT ratified is whether ceiling - OnHand - invoiced-not-gated-out (both doors) is the formula JIVO wants to manage space by. No JIVO-side report shows physical occupancy today."
2,blocking,"Is the basement (BH-BT) 628 pallet positions or 739? Your capacity sheet says 628. The factory app's own rack map for the basement has 739 cells tagged Finished Goods, one pallet each.","It is an 89,200 L swing on the ceiling — the difference between Oil's finished-goods ceiling being 827,000 L or about 907,000 L. On 628 the floor physically broke through its own absolute peak on four days, which cannot happen. On 739 the August peak lands at 89% of capacity, almost exactly your own 450/502 haircut.","The ceiling itself, and therefore whether August was an overflow event that needs a post-mortem or just a tight month.","739 — the sheet is stale, probably counted before a bay was added. I verified the 739 cells live in the app tonight. Say the word and I will move the ceiling to 907,000 L.",,,
3,blocking,"Is Gupta still available to Oil as an overflow godown, or is that door shut? The Bhakharpur-to-Gupta transfers ran 417,000-542,000 pieces every month from February to July, then stopped dead on 23 July — one day after the basement opened — and have taken nothing since.","It is the only place with proven capacity to absorb a real overflow: Oil's corner held 909,205 L on 21 July and the plant moved 95,640 pieces there in a single day. Everything else is a rounding error against a 30,000 L problem. If the door is shut, BH-BT's ceiling is a hard wall.",The whole overflow plan — whether a tight month is a scheduling problem or a physical one.,"The basement replaced Gupta on purpose and the building is going to Mart, but the door is not bricked up — Oil's own corner still holds 226,320 L today, so it could be reopened if you allow it.",,,
4,blocking,"Do the filling lines actually stop around 16:20, or do they keep running to about 19:00 with the output keyed in once at the end of the run?","It is the biggest number in the whole study. If the lines really stop at 16:20 the plant only makes product for 5.5 hours a day and has huge untapped capacity. My check says they do NOT stop: if only that early window were productive, 10 Head and 6 Head would have to beat their own nameplate speed on more than 60% of runs, which is impossible. Counting all the recorded time instead puts the plant at 47% of rated speed — which is exactly what your own OEE screen says (46.2%).","The entire capacity model, and whether the answer to a demand spike is a second shift or just better use of the day you already pay for.","They keep running. The 16:20-to-19:00 block is real production that nobody keys segment by segment. So the honest reading is a long day at about 47% efficiency, not a short day at 100%.",,,
5,high,"Is there a target for how long a bill may sit between the invoice and the truck? Today Oil's median is 2 days and the slowest one bill in ten waits more than 8 days, while the dock itself only takes about 2.5 hours.","Every day of that gap is godown space paid for twice. Cutting the median from 2 days to 1 would free roughly 65,000 L of standing space at Bhakharpur — more than twice today's entire remaining headroom. It is the cheapest lever available and costs no freight.","Knowing whether the ~145,000 L average standing pile is a problem to fix or just the cost of doing business.","There is no target today and it has been drifting better on its own (4.85 days in June, 3.95 in July, 2.22 in August). I would set 24 hours as the goal — but it may be the customer's or the transporter's timing, not ours, in which case it is not a lever.",,,
6,high,"Trucks per day have never gone above 26 in seventy days, median 19. What actually caps it — number of docks, loading labour, gate hours, or transporters?","It sets the maximum rate at which a full godown can be drained. The evidence points away from a truck shortage: 675 vehicles registered, only 263 used in three months, 129 transporters, 2.1 hours gate-in to gate-out, and almost no truck does two loads in a day.",Putting a drain-rate constraint next to the 827 T ceiling. Without it the plan can assume goods leave as fast as they are made.,"Loading labour and dock positions, not trucks. Loading takes 137 minutes a truck for Oil while the gate itself takes minutes, and arrivals all bunch at 10:00 with nothing moving between 20:00 and 08:00.",,,
7,high,"Does GP-FG — Oil's own corner of the Gupta building — belong inside the space model with its own ceiling, or does it stay outside because the building is committed to Mart?","It was the load-out godown for 331 of 928 Oil dispatches in three months and holds 226,320 L today, so it is plainly a working dispatch point. Right now it is in the allow-list with no capacity figure, which means the model will let it absorb unlimited stock.","Giving GP-FG a ceiling, and deciding whether overflow from BH-BT/BH-PF may legitimately be planned into it.","Give it a ceiling and keep it in. It is doing real work. Note its 226,320 L includes about 203,000 L of imported soyabean tins booked as semi-finished, which an earlier count filtered out — a tin of oil takes up floor whatever group it sits in.",,,
8,high,"Is Clear Pack really 3,000 five-litre bottles an hour? The best stretch that line has ever managed at 5 L is 2,695, and a typical run does 1,025 to 1,509.","Clear Pack 5 L is where the jerry-can demand sits and the plan sizes it at 3,000/hr. If the real sustained figure is nearer 1,500, the 5-litre capacity in the plan is overstated by about half.","5 L capacity in the month plan, and therefore whether the 5 L SKUs can be promised at all.","3,000 looks like the 1 L number copied across. I would use about 1,500/hr for 5 L until you say otherwise.",,,
9,high,"When Accounts bills ahead of the truck, does the stock get moved to a staging lane or dock-side stack, or does it stay in its rack until the truck comes?","If it stays in the rack, the standing volume is a straight deduction from usable storage. If it is staged in a lane that was never counted as storage anyway, the deduction is smaller and the real problem is dock-lane congestion instead.",Whether the fix is 'stop billing early' or 'add a staging lane'.,"It stays in the rack. The box scans show pallets being pulled straight from their godown cell onto the truck at loading time, not from a staging area.",,,
10,medium,"What is BH-PF's 377,000 L ceiling actually based on, and is it right? It has no rack map and no capacity figure on file — 377,000 is your 450/502 haircut applied to the sheet's 421 T.","In 700 days of history BH-PF has only twice been at 95% of that figure, and both are 22-23 August — eight days ago. Either the ceiling is real and the plant has just started hitting it for the first time ever, or the ceiling is a guess and last week was an ordinary day.",Knowing whether last week was a near-miss worth acting on or noise.,"The ceiling is about right but it is derived, not measured. A pallet count on the first floor would settle it the same way the basement's 739 cells did.",,,
11,medium,"Two things about the weighbridge, and they resolve together: when was it last calibrated and stamped — and should the received quantity follow OUR weighed net instead of the supplier's billed quantity?","Every bulk tanker we weigh comes in light — 24 of 24 challan comparisons short, never once over, about 0.30% on average. We then receive, book and pay the number on the supplier's paper anyway. At 20,060 MT a year the difference is roughly Rs 87 lakh. But an uncalibrated bridge reading 0.3% low produces exactly the same signature, so this is either money to recover from suppliers or a repair bill for our own scale.","Whether to raise this with AWL, Dhanlaxmi, Vaishnodevi and Arora at all. I will not call it a loss until the calibration certificate is seen.",The bridge is probably fine and the suppliers are probably short-loading slightly — the shortfall is too consistent across four different suppliers to be one scale drifting. But I would get the certificate before saying a word to anyone.,,,
12,medium,"The 43.91 MT of imported pomace olive that came in on 17 August (truck RJ47GA8215, POs 220526015 and 220526016, Rs 1.00 Cr) — where is it physically now? Bhakharpur, Gujarat, or already out to job work?","It is QC-approved, thirteen days old, and both POs are still fully open in SAP, so no planner and no stock report can see 48,252 litres of olive oil. If it is at Bhakharpur it is available oil AND it is taking up tank space.","Whether to add it to available oil in the September plan, and whether someone needs to chase the GRPO.","In the Bhakharpur oil tanks (BH-LO) with the GRPO simply not keyed yet — the gate entry is at Bhakharpur, not Gujarat. Median gate-to-GRPO is 1 day but the tail runs to 18, and this one is stuck in the tail.",,,
13,medium,"Should the day plan refuse to schedule a run whose bill of materials exceeds the packaging actually on hand, or only warn? Today three of the seven runs raised were short — canola 1,644 L available against 10,000 needed, and 3,735 SANO 5 L tins against 4,000.","The app already returns available stock beside the requirement on every material line, and packaging shortage is the single largest cause of logged downtime at 47.6%. The gate is buildable today; it needs your call on whether it refuses or only warns.",Whether the day plan the engine emits is actually schedulable or just arithmetic.,"Warn loudly, do not refuse — the floor clearly starts runs short and finishes them, and a hard block would stop work the plant knows how to do.",,,
14,medium,"Do you want a real hold status with an owner and an age? Today a hold is typed into the remarks box as free text — 'HOLD BY NAVNEET VG', 'BH-PS GODOWN DO NOT DISPATCH' — 41 bills in 90 days.","Held stock is the worst case for space: out of SAP, still on the floor, and nothing counts it, ages it or alerts on it. It is invisible to every report today.",A hold queue the planner can subtract from free space.,"Yes, and it should be a field with a name and a date on it so a hold cannot quietly become permanent.",,,
15,medium,"Who is supposed to key the case counts into the production app during the shift, and does anyone check them? The segments add to 59,723 cases for August, the run headers say 88,139, and SAP says the plant made about 105,000.","Right now the app can only be trusted as a clock, not as a production record. Its own OEE numbers divide by a speed the operator types in by hand — I found values of 7, 28, 90, 544 and 5,000 on lines whose real speeds are 600 to 5,400 — so its performance percentages are unusable.","Whether the factory app can ever be the production system of record, or stays a shift diary with SAP as the volume truth.","The operator keys them and nobody checks. Use the app for TIME and SAP for VOLUME — that combination reconciles, and the two on their own do not.",,,
16,medium,"Would you have the dispatch team set the planned dispatch date a day or two ahead instead of on the day? The field, the priority flag and a 14-day board already exist and are empty beyond today.",It is the only thing standing between us and a forward view of space freeing up. Today that query returns zero rows across all three companies — 80% of plans are made for today or tomorrow.,Any forward space forecast. I can build the report the moment the data exists; I cannot invent the dates.,"Yes, and it costs nothing — one field filled a day earlier. But it may be that the truck genuinely is not known until the morning, in which case there is nothing to fill in.",,,
17,medium,"Do customer returns and branch stock transfers physically come through the same gate? The app has finished modules for both and neither has ever been used once, while SAP books 28 A/R returns, 6 vendor returns and 444 stock transfers in Oil in August alone.","Returned goods arriving unrecorded is stock appearing in a godown with no gate event — the mirror image of the dispatch problem, and it makes the godown fuller than anyone thinks.",Whether the free-space model needs an inbound-returns term as well as the outbound one.,"Same gate, recorded as an ordinary vehicle entry with no returns paperwork behind it. The volumes are small next to dispatch, so I would not chase it before the outbound side is fixed.",,,
18,medium,"Is the crude-out / cold-press-back job-work loop through BH-GJ weighed and recorded anywhere? The gate's job-work module has 14 records and every one has an empty SAP document, empty production order and empty item list.","GODOWNS.md makes BH-GJ the front door for imported oil and job work is the route crude takes out and cold press comes back. If the gate records only the number plate, that whole loop has no measured quantity anywhere and the oil balance between EXIM, BH-GJ and BH-LO cannot be closed.",Closing the oil material balance.,"It is weighed at the job worker's end and comes back to us as a GRPO quantity we do not independently check. That is why the 3% refining loss can only be inferred from ratios, never measured.",,,
19,low,"Mart inbound never touches the gate app — zero of 346 SAP goods receipts in July and August, Rs 20.6 Cr in August. Different physical gate, or the app just is not used there?","If it is the same gate and just not used, Mart has no arrival record at all and everything found about inbound applies to Oil only.",Whether any of the inbound half of this study can be extended to Mart.,"Same gate, app not used — Mart's receipts are keyed straight into SAP by their own team.",,,
20,low,"The line-clearance checklist has never once been answered NO — 216 clearances, 1,944 checkpoint answers, not a single failure — and 21 of the 47-minute changeover is spent waiting for QA to sign it. Is QA on the floor or called across?","If the QA wait is a phone call, half the changeover cost is removable. If the checklist has genuinely never caught anything in five months, it is worth asking what a 47-minute gate is buying.",Whether the scheduler should batch SKUs to dodge changeovers (worth about 12 hours of line time in August) or ignore them.,"QA is called across rather than standing on the line, and the checklist is a formality nobody fails. I would keep the checklist and move QA closer.",,,
