gap,blocks_what,severity,can_be_derived,who_supplies,notes
"Dated demand: the plan is a monthly total, not a schedule",Today / tomorrow / day-after panel; the whole month sequence; when to buy,HARD,"PARTLY - a spreading rule can be derived from 12 months of daily dispatch per SKU, but the intent (promo, Mart push, festival) cannot",Preshit Singh (builds the plan); Kamaldeep Singh for the ecom half; Gurvinderjeet to rule,"VERIFIED: plan FINAL (2) carries a month total + a FIRST WEEK split only - no week 2/3/4, no days. The order book adds nothing forward: 431 open FG lines due on or before today, 18 due in the next 7 days, ZERO due beyond 7 days. 84% of the open book is one card (JIVO MART = ecom, 1,316,912 units). Without dates any sequence is an invented spreading rule wearing a plan's clothes."
SKU-to-line map: which line can run which SKU,Which line runs which oil and which bottle; every per-line sequence; flushing logic,HARD,YES once the factory app is reachable (run history gives line x product observed). NOT derivable from SAP at any depth,Gautam (owns capacity); IT for a network route to ji.jivo.in,"VERIFIED today, independently: SAP holds zero machine data - ORSC = 7 rows, all costing resources (FILLING COST CANOLA AND OLIVE, PET BOTTLE BLOWING CONVERSION COST...); OWOR.U_UNE_MLOC is NULL on all 8,390 orders; WOR1 resource lines point only at those cost codes. The map exists only in ji.jivo.in, whose SKU column was blank on every line config as of 2026-08-11."
ji.jivo.in (the factory app) is unreachable from where the engine runs,"Live run status, line assignment, OEE, downtime, waste, line clearance - every dynamic panel",HARD,"NO - it is a network route, not a calculation",IT / whoever owns the SAP tunnel (a VPS rung like SAP's port 45000),"VERIFIED: ji.jivo.in resolves to 138.252.101.117 but returns HTTP 000 from here (office-network only). The local factory-cli captures are dated 3 Aug and the four endpoints that matter are EMPTY: production-execution__runs count=0, __lines count=0, __line-configs count=0, plan-vs-production items=[]. By contrast eximbe.jivo.in answers (404 at root), so EXIM is reachable and the factory app is not."
"Flushing / changeover matrix: minutes lost and litres downgraded, per from-oil to to-oil pair",Sequencing the day and the month; any honest capacity figure; the brief names flushing explicitly,HARD,"NO - nothing anywhere records it, not even the ordering rule (light before dark)","Gautam and the line operators - a stopwatch exercise, ~6 lines x the oils each runs","VERIFIED absent: OITM has no FLUSH/CLEAN/CHANGEOVER/WASH item (4 hits, all cosmetics and an ink cartridge). The factory app's own downtime categories are machine / oil issue / sticker / SHRINK / bottle - no changeover category. Yet changeovers are constant: 3-44 distinct items produced per day, 44 items across 53 orders on 19 Aug alone."
No outbound message path - nothing can tell a person anything,The entire 'message the responsible person' half of the brief; DISPATCH-RULES.md is written and unusable,HARD,NO - this is code plus a phone number,"Daman (a number to send from, and the decision to send); Karanpreet's box holds the Zapia precedent","VERIFIED: whatsapp-cli/cmd is empty here and internal/wa/client.go has no send function - jwa is read-only by design and was still waiting on a spare-number scan as of 2026-08-27. jmail reads and prints, it does not send. Every alarm the engine can compute currently dies in a CSV."
Live production state: what is running RIGHT NOW,The first panel on the TV - 'what is running now',HARD,NO from SAP even in principle; YES from the factory app once reachable,Same as the factory-app route,"VERIFIED: in the last 14 days SAP booked 192 production orders Closed, 1 Released, 2 Planned. Orders open and close the same day (78% per earlier work), so SAP never holds an in-progress state. The factory app's 'SAP Entry' column was '-' on nearly every run, so the floor's live record does not reach the books either."
Tin Head rate: the binding constraint rests on a number the floor's own output contradicts,Whether August is feasible at all; every capacity headline,HARD,"YES - observed tin output settles it without asking anyone, if line attribution is fixed first","Gautam (one observed shift), or the factory app's run history","PLAN-AND-LINES.md now settles Tin Head at 240/hr and calls it the only binding constraint (118% loaded, short 13,453 tins). The factory's own MACHINE RATED SPEED xlsx says 480/hr, and the app has no Tin config at all. VERIFIED against SAP: the plan's own 19 TIN SKUs completed 10,971 tins on 2026-06-30 and cleared 5,300+ on five other days, against a stated ceiling of 240/hr x 12h = 2,880/day. That is 3.8x. Either the rate is wrong, tins do not all run on Tin Head, or tin days are not 12 hours. CAVEAT: I could not attribute those tins to a line, because the line field does not exist (see the SKU-to-line gap) - so this refutes the capacity claim without yet replacing it."
No automated arrival path for next month's plan,The dashboard going stale on the 1st of every month,HARD,NO - it is a hand-built workbook that arrives by hand,Preshit Singh (builds it in Excel); Gurvinderjeet to agree a drop point,"August's workbook IS held locally (verified: briefs/AUG-PLAN-2026.xlsx, FINAL (2), 99 SKU rows) - the ASK-GURVINDERJEET note saying otherwise is stale and should be closed. But nothing collects September's. DISPATCH-RULES rule 1 already names this the highest-value alarm in the system and the cheapest to build."
12% of the plan has no line with a configured speed,"Those SKUs silently drop out of a line-based schedule, or get pushed onto a line that cannot run them",SOFT,"PARTLY - run history would show where they actually ran, once reachable",Gautam,"VERIFIED from the resolved plan: 348,198 pieces / 420,500 L across 26 SKUs have no configured line - everything under 1 L (17 SKUs, 283,331 pcs), 5 L and 3 L tins (7 SKUs, 57,200 pcs), 3 L PET (2 SKUs, 7,667 pcs). Plan Sheet2 already marks 200 ML and 500 ML 'Machine Pending', so the planners know."
Case pack disagrees between the plan sheet and SAP's BOM,Carton quantities ordered wrong; line hours wrong wherever cases/hr is used,SOFT,YES - the disagreement is machine-detectable; which side is right is not,Preshit (the sheet) vs whoever maintains the BOM in SAP,VERIFIED on 6 of 68 testable SKUs (8.8%): FG0000370 EXTRA LIGHT OLIVE 3 LTR TIN plan 6 vs SAP 2; FG0000372 POMACE 3 LTR TIN 6 vs 2; FG0000449 MUSTARD 200 ML 35 vs 70; FG0000161 EV OLIVE 500 MLS 12 vs 24; FG0000324 SESAME 1 LTR 16 vs 20; FG0000227 RICE BRAN 1 LTR 20 vs 16. Two of those are 2x.
"Shift basis is a template default, and the two candidates differ 1.8x",Every capacity and feasibility statement,SOFT,PARTLY - observed hours could be derived from run start/end times in the factory app,Gautam / Raju Veerji,"All seven lines carry identical std hours/day = 22 and std hours/month = 572, which reads as a default rather than a measurement; the settled planning basis is 1 shift x 12 h. Electricity units/hour is blank on every line and labour is 0 with supervisor '-' on every config."
The 35% MSL buffer is a flat constant with no owner,How much buffer to hold - named directly in the brief,SOFT,YES - lead-time variance per item is already computed in out/lead-times.csv,Gurvinderjeet to ratify; the data can propose it,"MSL_PCT = 0.35 is hardcoded in materials.py, blend_mrp.py and allocate.py. The bom-spine finding already argues the buffer should be sized on lead-time variance rather than a flat 35%, and the ji-production waste log (every top-5 waste item is packaging) says a flat figure under-orders packaging specifically."
Tank capacity and blend time are not in the model,A blend is scheduled as if it were free; the buy list cannot see contracted inbound,SOFT,YES - EXIM already exposes it and EXIM is reachable from here,Nobody needs to supply it - it needs wiring,"EXIM has /tank/capacity-insights/, /tank/tank-summary/, /tank/in-tank-items/ and eximbe.jivo.in answers from this machine. No engine reads any of it. EXIM also holds 750,000 L of contracted crude canola with no SAP purchase order behind it - inbound that every SAP-only buy list is blind to."
"No production calendar of intent (holidays, planned maintenance)",Spreading a month across the right days,SOFT,YES for the working pattern; NO for future holidays,Gautam / HR for the holiday list,"The working pattern is already derivable: over 180 days Mon-Sat each carry 23-26 production days, Sunday only 9 days / 68 orders - a six-day week with an occasional Sunday. Planned shutdowns and maintenance windows are recorded nowhere we can read."
No manpower model per line,Whether a scheduled line can actually be staffed; who to message when it cannot,SOFT,NO,Gautam,Labour and Other Manpower read 0 and Supervisor / Operators read '-' on every line configuration in the factory app. A schedule that assumes all six lines can run simultaneously may be assuming a shift that does not exist.
No ratified rule for who gets the oil when it is short,The allocation decision the business actually faces every day,SOFT,YES - allocate.py already ranks by contribution per litre of scarce oil,Daman / Gurvinderjeet to ratify the ranking; Shunty for what is committed,"The engine exists and is unratified. It is also greedy rather than optimal and treats each base oil as an independent pool, which is defensible but is a modelling choice nobody has agreed to. Until somebody signs the ranking, the dashboard cannot tell anyone what to run first."
Recipe drift: the blend ratios change every batch,Any forward buy list built on a 90-day average recipe,SOFT,YES - the drift is measurable from OWOR/WOR1; the decision rule behind it is not,Gautam / whoever chooses the blend on the day,"Observed ranges are wide: groundnut's peanut share ran 0.496-0.571 and canola's soyabean share 0.632-0.698 across 51 orders since June. blend_mrp.py averages 90 days into one recipe. That is the right first move, but a month scheduled on the average will be wrong in the direction the blender chose, and that choice is almost certainly driven by price and what is in the tank - inference, not proven."
Nothing distinguishes an ecom (Mart) requirement from a trade requirement downstream,Sequencing and priority - half the plan behaves differently,SOFT,"YES - the plan carries the split, and Mart is a single CardCode in SAP",Kamaldeep Singh (plans ecom); Gagan PU ships it,"Ecom is 50.1% of the plan (2,083 T of 4,156.4 T) and reaches Oil as orders on CUSTA000606 JIVO MART PVT LTD - 1,316,912 open units, 84% of the whole open book, all due inside 7 days. So it is visible, but only at ~zero notice, which makes it the hardest half to schedule and the one most likely to blow up a sequence built the day before."
