line,config,pack_size,units_per_hour,std_hours_day,std_hours_month,sku_map_present,source
10 Head,1 LTR,1 L,2100,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
10 Head,2 LTR,2 L,1260,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
10 Head,5 LTR,5 L,900,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
6 Head,1 LTR,1 L,1080,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
6 Head,2 LTR,2 L,720,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
6 Head,5 LTR,5 L,600,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
Clear Pack,1 LTR,1 L,4800,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
Clear Pack,5 LTR,5 L,3000,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
JP Machine,1 LTR,1 L,5400,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
Pouch Machine,Hitech,1 L pouch,1800,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
Pouch Machine,Samarpan,1 L pouch,2400,12,312,no - sku field exists on config but is blank,ji.jivo.in Line Management config (created 2026-08-05; read 2026-08-11)
Tin Head,(none - no config in app),13-15 L tin,240,12,312,no,"Daman 2026-08-29: 4 tins/min = 240/hr. CONFLICTS with xlsx 480/hr and with Daman's own 480/day of 2026-08-11 - see gaps"
Manual,(excluded - hand filling),200 L drum,,,,"n/a - out of scope","Daman: Manual is hand filling, NOT a planned line. 3 plan SKUs flagged hand_filled (200 LTR drums, 180 pcs)"
Linear 6 Head Machine,rated,1 L,1080,12,312,n/a - spreadsheet has no SKU column,"MACHINE RATED SPEED - OIL.xlsx (factory-supplied 2026-07-29): 18 BPM x 60 - AGREES with app"
