change,why,engine_file,severity,evidence_endpoint
"Add a finished-goods STORAGE CEILING and refuse to schedule past it. Oil FG working ceiling 827,000 L (BH-BT 450,000 + BH-PF 377,000); peak 923,000 L. Occupied right now 664,341 L = 80% of working. FREE = 162,659 L. Name the godown that binds, in the same run that computes the requirement.","No engine in jolly/ has ANY capacity constraint — grep for 827/923/450/377/capac across engine/*.py returns nothing but BOM-explosion helpers and stock-source filters. month_plan.py schedules 26 days of output into a godown it has never measured. At the plan's own 166,281 L/day the free space holds 0.98 days of gross output.",engine/month_plan.py,critical,"SAP HANA OITW+OITM (ItmsGrpCod 102/115) at BH-BT/BH-PF, litres via engine/plan_units.py; ceiling from jolly/reference/STORAGE-CAPACITY.md (owner's sheet, the app records no litre capacity)"
"Net production against DISPATCH. Subtract the outbound rate (August: 2,541,320 L = 97,743 L/day) and add returns (+5,848 L/day) before testing the ceiling. Net fill at the plan's rate is +74,386 L/day, so the free space is gone in 2.19 days.","Both schedulers accumulate finished goods with no outflow term at all. Without it a storage check is either meaningless (gross) or wrong. The correct constraint is cumulative net stock per day, tested against the ceiling every day of the month.",engine/month_plan.py,critical,"SAP HANA OINV+INV1 Aug-2026 Oil, CANCELED='N', FG+SF item groups (verified live 2026-08-30); returns from SAP ORIN/RIN1 (quality lane); factory /dispatch-plans/dashboard/bills/ as the second opinion"
"Emit a STOP LINE for September: the month is not storage-feasible as written. 4,323,300 L planned against 2,541,320 L shipped in August = 1,781,980 L of accumulation into 162,659 L of free space — 11x over. State it before day 1, not on day 3.","The owner's exact point: scheduling production with nowhere to put it is worthless. This is a bigger constraint than lines, oil or packaging and it is currently invisible to the planner. Even if every line, every litre of oil and every label were available, the month physically cannot be stored.",engine/month_plan.py,critical,"out/plan-sep-resolved.csv (4,323,300 L, 84 SKUs) vs SAP HANA OINV Aug-2026; ceiling from reference/STORAGE-CAPACITY.md"
"FIX THE UNIT BUG: open oil POs are read in MTS and treated as litres. Change SUM(L.OpenQty) to SUM(L.OpenInvQty) in the on-order query, or multiply by NumPerMsr (1,098.9).","VERIFIED LIVE: every bulk-oil PO line carries unitMsr='MTS' and NumPerMsr=1,098.9. out/september-gap-list.csv today shows MUSTARD on_order=376 where the truth is 413,597 L, SOYABEAN 479 where the truth is 526,736 L, GROUNDNUT 103 where the truth is 113,593 L. 1,107,112 L of real inbound oil is being read as 1,007 L. Correcting it drops SOYABEAN (Rs 70.6 Cr of fictitious 'value at risk') and RICE BRAN off the gap list entirely and cuts mustard's shortage from 1,198,890 L to 785,669 L. The factory app and SAP's own HANA procedure carry the identical defect — do not copy theirs.",engine/sep_gap.py,critical,"SAP HANA POR1/OPOR JIVO_OIL_HANADB: OpenQty vs OpenInvQty vs NumPerMsr, 8 open RM lines (verified live 2026-08-30 12:44 UTC)"
"Replace the flat lead times (LEAD_PM=6, LEAD_OIL=11) with measured per-supplier lead times from GRPO history. Mustard measures avg 22.4 days, max 98, over 161 delivery lines.","An 11-day oil lead sets order_by = 21 August; the measured 22.4-day lead sets it at 9 August. Every oil order-by date on the September gap list is about eleven days too late, which makes 'LATE' understate the problem instead of overstating it.",engine/sep_gap.py,high,GET /supply-chain/live-trail/ (lead_avg / lead_max / order_by per component); factory app measures them from its own GRPO history
"Schedule 4 concurrent lines, not 6. Use 4 as the default and 5 as the stretch; 6 has never been observed.","month_plan.py and day_plan.py both loop over all 6 lines every day. The observed median is 4 line-days per production day (range 3-5 of 7). Manual and Tin Head are effectively idle (1 and 4 runs in two months). Planning on six concurrent lines overstates capacity by roughly 50%.",engine/month_plan.py,high,"GET /production-execution/runs/ (229 runs, 169 line-days, Jul-Aug 2026) and /production-execution/runs/{id}/ segments"
"Stop scheduling at 100% of nameplate speed. Either apply the measured per-line performance derate (Clear Pack 17.4%, JP Machine 24.8%, 6 Head 35.3%, 10 Head 51.5%, Pouch 63.5%) or, better, schedule directly against observed litres per line per production-day: Clear Pack 24,660, JP 21,340, Tin 17,385, 6 Head 14,484, 10 Head 14,268, Pouch 12,987 (medians).","The rated speeds in LINES{} are confirmed correct as machine nameplates — all 11 match the live app exactly — but the floor never runs at them. day_plan.py already knows this: it prints 'at the floor's real ~47% efficiency this lands near X L' AFTER the schedule is built, and never applies it. A schedule the plant cannot hit is not a schedule. Plant capability sums to 105,124 L/day median and 148,344 L/day at p90, against 166,281 L/day the plan needs.",engine/day_plan.py,high,"GET /production-execution/reports/analytics/oee/ (153 runs) and /production-execution/runs/ close-out totals, Jul 1 - Aug 30 2026"
"Raise the changeover cost. The engines model flush time as 400 L / line-litres-per-hour = 4.4-22.2 min. The floor's measured same-day product change is 62 min median, 109 min p75. Keep the 400 L material rule (once per oil per month) but use the measured time.","Under-modelling changeover by 3-14x makes the scheduler cheerfully interleave SKUs on a line that in reality would lose an hour each time. The plant's own habit already says this: 127 of 169 line-days run exactly ONE product and changeover is normally absorbed overnight. CAVEAT: n=10 same-day product changes only — thin, and worth putting to the plant before hardening.",engine/day_plan.py,high,"GET /production-execution/runs/{id}/ segments (10 same-day product changes on the same line, Jul-Aug 2026)"
"Add a packaging waste uplift of 5% to every BOM consumption and every order quantity, weighted to labels (labels 2.96%, bottles 1.75%, caps 1.01%, cartons 0.12%). Treat 5% as a FLOOR.","The engines consume packaging at exactly the BOM per-piece figure — zero waste. Measured waste is 4.21% (vs close-out production) to 5.95% (vs segment production) of packaging pieces, and it is logged on only 58% of production days, so true consumption is higher. This directly feeds the gap list: the planner is ordering 5% short of what the floor actually eats.",engine/sep_gap.py,high,"GET /production-execution/waste/ (517 logs) reconciled against /production-execution/runs/ production; NOT the app's own waste_vs_production_pct of 52.5%, which divides pieces+kg by cases"
"Count material standing at the gate as available inventory. Before declaring any shortage on a PO due within ~3 days, read the gate feed. Rs 1.22 Cr of Oil material is physically inside the plant right now with no SAP goods receipt — 58.9 MT of peanut oil (~64,725 L at 1,098.9 L/MT, PO 220826114 Dhanlaxmi), 159,000 preforms, and four Royal Prime label SKUs.","SAP's GRPO trails the gate by a median of 1 day (p75 2, p90 3, max 10) because ~83% of Oil receipts are hand-keyed into SAP after the fact. The planner reads SAP only, so for three days after a truck arrives it believes material that is on the floor does not exist — and raises an order for it.",engine/sep_gap.py,medium,"GET /vehicle-management/vehicle-entries/?entry_type=RAW_MATERIAL, GET /grpo/pending/, GET /grpo/preview/{vehicle_entry_id}/ cross-checked against SAP HANA OPDN/PDN1"
