model,live_endpoint,documented,cli_command,cached_sample,priority,effort,notes
advancelicenseexportlines,GET /license/advance-license-export-lines/ ; GET /license/advance-license-export-lines/{id}/,partial,license get-advance-export-lines,license__advance-license-export-lines.json,P2,1 cmd,list VERIFIED 200 n=9; detail 403 for this login and has no CLI
advancelicenseheaders,GET /license/advance-license-headers/ ; GET /license/advance-license-header/{license_no}/,partial,license get-advance-headers ; license get-advance-header (SOURCE ONLY - not in shipped binary),license__advance-license-headers.json,P1,rebuild,"Q3 country: license header carries the import entitlement. Detail cmd exists in source, binary is stale"
advancelicenseimportlines,GET /license/advance-license-import-lines/ ; GET /license/advance-license-import-lines/{id}/,partial,license get-advance-import-lines ; license get-advance-import-lines-dropdown,license__advance-license-import-lines.json,P1,1 cmd,"Q2/Q3: BOE no + BOE date + boe_value_usd + import_in_mts = the import evidence. Detail 200 VERIFIED, no CLI"
advancelicenselines,(no distinct live route - /license/advance-license-lines/ 404 VERIFIED),no,-,-,P4,none,urlconf name only; the export/import line views share it. Nothing to build
balance_sheet,GET /sap-sync/balance-sheet/ ; GET /sap-sync/balance-sheet-insights/,partial,sap-sync get-balance-sheet,more__sap-sync_balance-sheet.json,P3,1 cmd,"balance-sheet-insights 200 VERIFIED n=10, undocumented, no CLI"
basicrates,GET /rates/basic-rate/,yes,rates get-basic,rates__rates_basic-rate...json,P3,0,VERIFIED 200 (empty for Aug 1-29 range)
commoditymargin,GET /rates/commodity/ ; GET /rates/commodity/{id}/,partial,rates get-commodity,rates__rates_commodity.json,P3,1 cmd,"list VERIFIED n=12; detail VERIFIED 200, no CLI"
contractualhistory,GET /stock-status/contractual-history/,yes,stock-status get-contractual-history,stock-status__contractual-history.json,P1,0,Q5 value: contract rate + contract dates per import lot. VERIFIED n=20
daily_price,GET /daily-price/fetch/,yes,-,rates__daily-price_fetch.json,EXCLUDED,none,"HARD-RULE: fetch permission, sync-shaped. Do not build"
daily_price_graph,GET /daily-price/trends/,yes,daily-price get-trends,daily-price__trends.json,P3,0,VERIFIED 200
dailyprice,GET /daily-price/db-list/ ; /range/ ; /highest-lowest/,yes,daily-price get-db-list ; get-range ; get-highest-lowest,daily-price__db-list.json,P2,0,db-list VERIFIED n=2865. highest-lowest 400 without params - CLI should require them
dashboardorder,GET /stock-status/dashboard-order/{id}/,no,-,-,P4,1 cmd,UI ordering of dashboard cards. Live route exists (bare path 405 VERIFIED); detail not verified (TLS)
dashboardsnapshot,GET /stock-status/dashboard-snapshot/,no,-,-,P3,1 cmd,"In live schema + urlconf. NOT VERIFIED - my probe hit the TLS fault, never got a status"
debitentry,GET /stock-status/debit-entries/ ; /debit-insights/,yes,stock-status get-debit-entries ; get-debit-insights,stock-status__debit-entries.json,P2,0,VERIFIED n=204. Shortage/debit per vehicle = the arrival-loss story
dfia_line_insights,(no distinct live route found),no,-,-,P4,none,No endpoint carries this name in the live schema or urlconf
dfialicenseexportlines,GET /license/dfia-license-export-lines/list/ ; /dropdown/ ; /{id}/,partial,license get-dfia-export-lines-dropdown,license__dfia-license-export-lines__dropdown.json,P3,2 cmds,list VERIFIED 200 but EMPTY (n=0); detail 404. No DFIA data in the system right now
dfialicenseheader,GET /license/dfia-license-header/list/ ; /{file_no}/,partial,license get-dfia-header-list,license__dfia-license-header__list.json,P3,1 cmd,list VERIFIED 200 n=0 (empty); detail 404 VERIFIED
dfialicenseimportlines,GET /license/dfia-license-import-lines/list/ ; /{id}/,no,-,-,P3,2 cmds,list VERIFIED 200 n=0; both undocumented and absent from the CLI
dfialicenselines,"(shared urlconf name, no distinct route)",no,-,-,P4,none,404 VERIFIED on /license/dfia-license-lines/
