host	path	method	class	app	const	why
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaign	POST	UNKNOWN	im-discounts		POST with no read-or-write evidence
brand-portal-service-http.swiggy.com	/api/discounting/v1/campaigns	POST	UNKNOWN	im-discounts		POST with no read-or-write evidence
brand-portal-service-http.swiggy.com	/api/discounting/v1/tnc/acceptance	POST	UNKNOWN	im-discounts		POST with no read-or-write evidence
brand-portal-service-http.swiggy.com	/api/v1/ads-chat/chat	POST	UNKNOWN	brand-portal-client	ADS_CHAT	POST with no read-or-write evidence
brand-portal-service-http.swiggy.com	/api/v1/campaign/estimate-metric	UNKNOWN	UNKNOWN	brand-portal-client	GET_CAMPAIGN_IMPRESSIONS	read-shaped path but METHOD UNRESOLVED — denied per G1
brand-portal-service-http.swiggy.com	/api/v1/get-advertiser-metrics	UNKNOWN	UNKNOWN	brand-portal-client	UPTIME_METRICS	read-shaped path but METHOD UNRESOLVED — denied per G1
brand-portal-service-http.swiggy.com	/api/v1/spins	UNKNOWN	UNKNOWN	im-sampling	GET_SPINS	read-shaped path but METHOD UNRESOLVED — denied per G1
brand-portal-service-http.swiggy.com	/v1/reassign_spin_change_request	POST	UNKNOWN	im-catalog	REASSIGN_SPIN_CHANGE_REQUEST	POST with no read-or-write evidence
brand-portal-service-http.swiggy.com	/v1/transition_spin_change_request	POST	UNKNOWN	im-catalog	TRANSITION_SPIN_CHANGE_REQUEST	POST with no read-or-write evidence
brand-portal-service-http.swiggy.com	/v1/validate_spin_change_request	POST	UNKNOWN	im-catalog	VALIDATE_SPIN_CHANGE_REQUEST	POST with no read-or-write evidence
partner-api.swiggy.com	/instamart/v1/campaign	UNKNOWN	UNKNOWN	brand-portal-client	CAMPAIGN_GET	method unresolved from the minified source — denied per G1
partner-api.swiggy.com	/instamart/v1/campaign/list	UNKNOWN	UNKNOWN	brand-portal-client	CAMPAIGN_LIST	read-shaped path but METHOD UNRESOLVED — denied per G1
partner-api.swiggy.com	/instamart/v1/keywords/l2-placement-suggestions	UNKNOWN	UNKNOWN	brand-portal-client	L2_CATEGORY_SUGGESTIONS	read-shaped path but METHOD UNRESOLVED — denied per G1
partner-api.swiggy.com	/instamart/v1/keywords/suggestions	UNKNOWN	UNKNOWN	brand-portal-client		read-shaped path but METHOD UNRESOLVED — denied per G1
picker.swiggy.com	/api/v1/fc-appointment/recommend-slots	UNKNOWN	UNKNOWN	im-vendor		read-shaped path but METHOD UNRESOLVED — denied per G1
picker.swiggy.com	/api/v1/fc-appointment/search	UNKNOWN	UNKNOWN	im-vendor		read-shaped path but METHOD UNRESOLVED — denied per G1
picker.swiggy.com	/api/v1/grn-list-data	UNKNOWN	UNKNOWN	im-vendor	GET_GRN_DATA	read-shaped path but METHOD UNRESOLVED — denied per G1
picker.swiggy.com	/api/v1/suppliers/searchSuppliers	UNKNOWN	UNKNOWN	im-vendor		read-shaped path but METHOD UNRESOLVED — denied per G1
