SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	DISP_DOCS	DISP_VAL_L	EXT_DISP_DOCS	EXT_DISP_VAL_L	NAMED_PCT	LR_PCT	VEH_PCT	DRIVER_PCT	FILLED	FILL_PCT	VARIANTS	VENDOR_CODE	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP	NOTE
TOTAL	ALL	Company total	1	25183	32423.68	24919	31062.8	2.5	3.9	4	0	NULL	NULL	31	NULL	NULL	646	325.73	1	dispatch doc = OINV, ex-cancelled, ex 2024-09-30 migration. DISP_VAL_L is ALL dispatches incl. branch + intercompany -- EXT_DISP_VAL_L is external-only, and PARTY splits them. Freight A/P 32.4% tied to a named transporter; 14 carrier(s) worth 36 L sit OUTSIDE the transporter supplier group and were pulled in by name. Name spread 23 third-party spellings (31 incl. own-fleet/placeholder) -> 19 keys -> 18 families; LR field = U_BilltyNumber / U_VehicleNoM
FIELD	ODLN.U_TransporterName	Transporter Name	2	6023	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.LR_NUMBER (bilty)	Bilty / lorry receipt number	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	980	3.9	NULL	NULL	NULL	NULL	NULL	NULL	per-book column: U_BilltyNumber / U_VehicleNoM -- NOT U_LRNUmber, which is captioned Bill Of Entry No.
FIELD	OINV.U_BiltAmt	Bilty Amount	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	typed field (B), not a list
FIELD	OINV.U_BiltyDate	Bilty Date	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	992	3.9	NULL	NULL	NULL	NULL	NULL	NULL	typed field (D), not a list
FIELD	OINV.U_DriverName	Driver Name	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_LRNUmber	Bill Of Entry No. (NOT a lorry receipt)	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	this book: U_LRNUmber -- a customs field, near-empty; the LR lives in the bilty column above
FIELD	OINV.U_Ship_From	Ship From	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24	0.1	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_TransporterInvoice	Gate Pass No.	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_TransporterName	Transporter Name	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	981	3.9	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.VEHICLE_NO	Vehicle number (e-way bill Part B)	2	25183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	995	4	NULL	NULL	NULL	NULL	NULL	NULL	per-book column: U_BilltyNumber / U_VehicleNoM
FIELD	OPDN.U_TransporterName	Transporter Name	2	3018	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
NAMECLASS	UNNAMED	No transporter recorded	3	24202	24831.75	23961	23470.88	NULL	0.1	0.1	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	THIRD_PARTY	Named third-party transporter	3	640	5337.89	622	5337.89	NULL	99.2	100	0.2	NULL	NULL	23	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	OWN_OR_SELF	Own fleet / collected by customer	3	341	2254.03	336	2254.03	NULL	96.8	100	0.3	NULL	NULL	8	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	EXTERNAL	External customers (real trade)	4	24919	31062.8	24919	31062.8	2.5	3.8	3.9	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	INTERCOMPANY	JIVO group company	4	35	777.33	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	BRANCH	Own branch GST registrations	4	229	583.54	0	0	7.9	9.6	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MONTH	2024-12	Dispatches in 2024-12	5	6	657.15	6	657.15	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
MONTH	2025-01	Dispatches in 2025-01	5	920	1128.16	909	1015.95	0	0	0	0	NULL	NULL	0	NULL	NULL	36	17.67	1.6	NULL
MONTH	2025-02	Dispatches in 2025-02	5	1928	1285.57	1924	1273.9	0	0	0	0	NULL	NULL	0	NULL	NULL	29	17.53	1.4	NULL
MONTH	2025-03	Dispatches in 2025-03	5	1978	1473.07	1961	1411.77	0	0	0	0	NULL	NULL	0	NULL	NULL	41	24.35	1.7	NULL
MONTH	2025-04	Dispatches in 2025-04	5	1846	1368.3	1835	1290.89	0	0	0	0	NULL	NULL	0	NULL	NULL	14	12.74	0.9	NULL
MONTH	2025-05	Dispatches in 2025-05	5	1534	1353.31	1527	1339.11	0	0	0	0	NULL	NULL	0	NULL	NULL	29	25.77	1.9	NULL
MONTH	2025-06	Dispatches in 2025-06	5	1465	968.4	1457	951.1	0	0	0	0	NULL	NULL	0	NULL	NULL	14	4.67	0.5	NULL
MONTH	2025-07	Dispatches in 2025-07	5	1784	1402.34	1759	1342.91	0	0	0	0	NULL	NULL	0	NULL	NULL	15	14.1	1	NULL
MONTH	2025-08	Dispatches in 2025-08	5	1192	1351.01	1158	1263.5	0	0	0	0	NULL	NULL	0	NULL	NULL	34	12.03	0.9	NULL
