question,area,subject,company,metric,value,unit,status,evidence,source,as_of
Q1 location,WMS coverage,warehouses with a rack grid,ALL 3,WMS grids that exist anywhere in the app,2,grids,VERIFIED,"BH-BT (Oil, Bhakharpur Basement) and Gupta Godown (Mart). Beverages returns []",GET /wms/warehouses/ x3 companies,2026-08-30T22:30 IST
Q1 location,WMS coverage,JIVO_BEVERAGES,JIVO_BEVERAGES,WMS warehouses defined,0,grids,VERIFIED,empty results array,GET /wms/warehouses/,2026-08-30T22:30 IST
Q1 location,WMS coverage,Oil godowns NOT location-modelled,JIVO_OIL,SAP warehouses with stock but no rack grid,28 of 29,warehouses,VERIFIED,"only BH-BT has a grid; BH-PF (250,263 L FG), GP-FG, BH-BS, BH-PM, BH-NM, BH-PC, BH-LO etc. have none",GET /wms/warehouses/ vs OWHS/OITW,2026-08-30T22:30 IST
Q1 location,BH-BT grid,Bhakharpur Basement,JIVO_OIL,grid size,961,cells (31 rows x 31 cols x 1 level),VERIFIED,"all type=RACK, all status=ACTIVE, all capacity.maxPallets=1",GET /wms/locations/,2026-08-30T22:30 IST
Q1 location,BH-BT grid,Bhakharpur Basement,JIVO_OIL,stock-holding cells (purpose FINISHED-GOODS),739,cells,VERIFIED,"other 222 cells are aisle/pillar/lift/stairs/cabin/conveyer/packing, holdsStock=false",GET /wms/locations/ + /wms/cellPurposes/,2026-08-30T22:30 IST
Q1 location,BH-BT grid,Bhakharpur Basement,JIVO_OIL,cells occupied by an ACTIVE pallet,266 of 739 = 36.0%,%,VERIFIED,333 ACTIVE pallets standing in 267 distinct cells,GET /wms/pallets/,2026-08-30T22:30 IST
Q1 location,BH-BT grid,cells holding MORE than the declared 1 pallet,JIVO_OIL,cells over capacity,34 of 267 occupied,cells,VERIFIED,worst cell 07-E holds 10 pallets; 66 excess pallets = 19.8% of all active pallets. Every cell declares capacity.maxPallets=1 and the app accepts the breach,GET /wms/locations/ + /wms/pallets/,2026-08-30T22:30 IST
Q1 location,BH-BT grid,pallets standing in a non-stock cell,JIVO_OIL,rule breaches,2,pallets,VERIFIED,PLT-20260626-XX-084 and PLT-20260622-XX-084 sit in a PACKING-MATERIAL cell (holdsStock=false),GET /wms/pallets/ + /wms/cellPurposes/,2026-08-30T22:30 IST
Q1 location,BH-BT grid,putaway / storage rules configured,JIVO_OIL,cells with any material rule set,0 of 961,cells,VERIFIED,allowMixedItems=true everywhere; singleLotOnly=false; allowedMaterialTypes empty; temperatureClass null; hazmat off; reservation unused; zoneId null on all 961; dimensions null on all 961,GET /wms/locations/,2026-08-30T22:30 IST
Q1 location,BH-BT grid,zones / templates / material master in WMS,JIVO_OIL,records,0 / 0 / -,records,VERIFIED,GET /wms/zones/ and /wms/templates/ return empty for both grids,"GET /wms/zones/, /wms/templates/",2026-08-30T22:30 IST
