section,metric,scope,as_at,value,unit,pct_of_working_827k,pct_of_peak_923k,verified,method,source,note
1_FINISHED_GOODS,FG+semiFG on hand,BH-BT,2026-08-01 opening,238793.6,litres,,,TRUE,OITW.OnHand_today MINUS sum(OINM InQty-OutQty) where DocDate>='2026-08-01'; litres from SKU name via engine/plan_units.pack_litres,HANA JIVO_OIL_HANADB OITW/OINM/OITM grp 102+115,"132,701 pieces; 74 items"
1_FINISHED_GOODS,FG+semiFG on hand,BH-PF,2026-08-01 opening,222431.1,litres,,,TRUE,same rewind,HANA OITW/OINM/OITM grp 102+115,"145,072 pieces; 104 items; incl. semi-finished 1,801 pcs = 25,714.8 L"
1_FINISHED_GOODS,FG+semiFG on hand — THE OPENING FIGURE,BH-BT + BH-PF,2026-08-01 opening,461224.7,litres,55.8,50.0,TRUE,"sum of the two rows above; 277,774 pieces",HANA OITW/OINM/OITM,"REPRODUCES the 461,225 L target exactly. Rewind proven by spot-check: RM0000003 MUSTARD at BH-LO = 102,917.3978 L, matching the mandated figure to 4 dp."
1_FINISHED_GOODS,rewind spot-check (mandated),RM0000003 MUSTARD @ BH-LO,2026-08-01 opening,102917.3978,litres,,,TRUE,"OnHand 129,952.0028 - OINM net 27,034.605 (DocDate>='2026-08-01')",HANA OINM/OITW,EXACT match to the mandated control value. This fixes the date convention: '>=2026-08-01' = the MORNING of 1 Aug.
1_FINISHED_GOODS,CONVENTION WARNING — closing of 1 Aug,BH-BT + BH-PF,2026-08-01 closing,468959.7,litres,,,TRUE,same rewind but DocDate>='2026-08-02',HANA,"This is the figure the earlier series labelled '2026-08-01'. It is the END of 1 Aug, not the morning. The 461,225 opening equals that series' '2026-07-31' row. An off-by-one day here is 7,735 L."
1_FINISHED_GOODS,FG on hand (outside the ceiling),GP-FG Oil corner at Gupta,2026-08-01 opening,310876,litres,,,TRUE,same rewind,HANA,"38,825 pcs, 82% is SOYABEAN OIL 15 KGS TIN IMP (16.48 L/tin at 910 g/L). Real Oil FG but NOT at Bhakharpur and NOT covered by the 827k ceiling. Drained to 2,615 pcs by 30 Aug."
1_FINISHED_GOODS,unparsed SKU (litres not counted),BH-BT FG0000344,2026-08-01 opening,282,pieces,,,TRUE,pack_litres returned None,HANA,JIVO PREMIUM OIL GIFT BOX — only unparsed item; 0.1% of pieces. Immaterial.
2_CEILING,storage capacity held in the factory app,ji.jivo.in / factory.jivo.in,2026-08-31 live,NONE,,,,TRUE,"searched full API surface: spec.yaml + tools-manifest.json for /capacit/i; pulled wms-warehouses, wms-locations, wms-zones",factory-cli api/spec/tools-manifest + live WMS,The ONLY 'capacity' in the whole app is vehicle tonnage (/vehicle-management/) and filling-line HOURS (/supply-chain/capacity/). No godown volumetric capacity exists.
2_CEILING,BH-BT WMS rack grid,BHAKHARPUR-BASEMENT,2026-08-31 live,961,grid cells (31x31x1),,,TRUE,wms wms-warehouses + wms-locations --company JIVO_OIL,factory app WMS,Grid createdAt 2026-07-31T05:34:54 — ONE DAY before the study date. All 961 cells created in the same instant.
2_CEILING,BH-BT finished-goods cells,purpose 'Finished Goods' holdsStock=true,2026-08-31 live,739,pallet positions,,,TRUE,"wms-locations grouped by purposeId, joined to wms-cell-purposes",factory app WMS,"739 FG + 46 Packing Material = 785, which is where the brief's '785' comes from. Other 176 cells are path/stairs/lift/pillar/conveyer/cabin/gate, holdsStock=false."
2_CEILING,WMS cell capacity detail,all 961 BH-BT cells,2026-08-31 live,maxPallets=1 on every cell,,,,TRUE,wms-locations capacity{} and dimensions{},factory app WMS,"AUTO-GENERATED BOILERPLATE, not a rack survey: identical default maxPallets=1 on all 961; maxUnits, maxVolume, maxWeight ALL NULL; height/length/width ALL NULL; code and barcode empty strings."
2_CEILING,litre ceiling implied by the WMS,BH-BT,2026-08-31 live,591200,litres,,,FALSE,739 FG cells x 800 L (Daman's sheet constant 0.8 T/pallet),derived,"INFERRED. 18% ABOVE the sheet's 502,000 L for BH-BT. The 800 L/pallet comes from the sheet, not the app — the app stores no volume."
2_CEILING,capacity for BH-PF,BH-PF,2026-08-31 live,DOES NOT EXIST,,,,TRUE,wms-warehouses --company JIVO_OIL returns exactly ONE warehouse,factory app WMS,"BH-PF is not modelled in the WMS at all — no grid, no cells, no capacity. Yet it held 222,431 L on 1 Aug, 48% of the total."
2_CEILING,VERDICT on the ceiling,Oil FG (BH-BT+BH-PF),2026-08-31,827000 working / 923000 peak,litres,,,PARTIAL,Daman's sheet (pallets x 0.8 T) — CORROBORATED against 92 days of reconstructed book balances,reference/STORAGE-CAPACITY.md + HANA reconstruction,"827,000 is the ONLY storage number anyone has written down. But it is NOT merely asserted: across 2026-06-01..08-31 the book NEVER breached either godown's peak — BH-BT max 482,944 L = 96.2% of its 502,000; BH-PF max 372,404 L = 88.5% of its 421,000. Touching 96% and never crossing is the signature of a real constraint, and it lands on the SHEET's 502,000, not the WMS-implied 591,200."
3_PALLETS,WMS pallets standing — REWOUND,BH-BT,2026-08-01 opening,19,pallets,,,TRUE,replayed 764 wms-movements (PUTAWAY +1 / OUTBOUND -1 on distinct palletId) up to 2026-08-01T00:00,factory app wms wms-movements --company JIVO_OIL,2.6% of the 739 FG cells. The pallet ledger DOES have history (earliest movement 2026-07-31T11:07:43) and CAN be rewound — this is that rewind.
3_PALLETS,WMS pallets standing — today,BH-BT,2026-08-30/31 live,333,pallets ACTIVE,,,TRUE,wms wms-pallets; 333 ACTIVE + 1 REMOVED = 334 ever created,factory app WMS,"THE BRIEF'S '333 of 785' IS NOW DATED: it is a ~30-Aug reading, not 1 Aug. Ramp: 1 pallet on 31 Jul, 19 by 1 Aug, 67 by 5 Aug, 254 by 15 Aug, 308 by 31 Aug."
3_PALLETS,WMS coverage of actual stock,BH-BT,2026-08-30 live,49.0,% of SAP litres,,,TRUE,"333 ACTIVE pallets x totalUnits x pack_litres = 202,710 L vs SAP BH-BT on-hand 414,078 L",factory app WMS + HANA,The WMS tracks only HALF the stock even today. 41 of 333 'pallets' (12%) carry a single box.
3_PALLETS,VERDICT on the pallet count,BH-BT,2026-08-01,REFUTED as an occupancy measure,,,,TRUE,see rows above,factory app WMS,"The brief hoped a physical pallet count would 'beat every litre inference'. It does not. The WMS went live 2026-07-31 and held 19 pallets on the morning of 1 Aug — it measures ROLLOUT PROGRESS, not how full the godown was. Do not use 42.4% for 1 August."
